trip_id,user_id,user_type,bike_id,bike_type,start_station_id,end_station_id,start_time,end_time,duration_minutes,distance_km,status
TR10030,USR1056,casual,BK249,classic,ST114,ST113,2024-04-02 06:34:00,2024-04-02 07:06:00,32.0,7.26,completed
TR10031,USR1089,member,BK259,classic,ST101,ST100,2024-04-12 13:58:00,2024-04-12 14:18:00,20.0,1.84,completed
TR10032,USR1031,casual,BK208,classic,ST102,ST102,2024-07-15 13:56:00,2024-07-15 14:37:00,41.0,7.53,completed
TR10033,USR1023,member,BK232,electric,ST103,ST110,2024-02-16 07:30:00,2024-02-16 07:54:00,24.0,9.42,completed
TR10034,USR1083,member,BK298,electric,ST113,ST108,2024-07-04 21:23:00,2024-07-04 22:05:00,42.0,6.97,completed
TR10035,USR1081,member,BK253,classic,ST112,ST108,2024-06-18 03:08:00,2024-06-18 03:30:00,22.0,2.58,completed
TR10036,USR1013,casual,BK247,electric,ST107,ST107,2024-01-27 17:07:00,2024-01-27 17:44:00,37.0,8.64,completed
TR10037,USR1047,member,BK258,classic,ST105,ST106,2024-03-01 00:16:00,2024-03-01 00:53:00,37.0,3.25,completed
TR10038,USR1050,member,BK207,classic,ST110,ST101,2024-03-21 19:41:00,2024-03-21 20:23:00,42.0,4.15,completed
TR10039,USR1063,casual,BK268,electric,ST112,ST102,2024-09-07 00:32:00,2024-09-07 01:04:00,32.0,6.15,completed
TR10040,USR1043,member,BK229,classic,ST113,ST104,2024-09-15 04:00:00,2024-09-15 04:21:00,21.0,8.95,completed
TR10041,USR1036,member,BK292,classic,ST113,ST104,2024-04-23 16:27:00,2024-04-23 17:12:00,45.0,6.15,completed
TR10042,USR1062,casual,BK284,electric,ST106,ST100,2024-11-15 01:31:00,2024-11-15 02:08:00,37.0,3.85,completed
TR10043,USR1024,member,BK294,electric,ST109,ST102,2024-06-25 10:39:00,2024-06-25 11:01:00,22.0,6.13,completed
TR10044,USR1031,casual,BK285,classic,ST101,ST114,2024-01-26 10:31:00,2024-01-26 11:25:00,54.0,5.66,completed
TR10045,USR1016,member,BK232,classic,ST110,ST105,2024-06-09 06:25:00,2024-06-09 06:55:00,30.0,4.24,completed
TR10046,USR1025,casual,BK249,classic,ST107,ST112,2024-02-08 00:28:00,2024-02-08 01:14:00,46.0,1.73,completed
TR10047,USR1044,member,BK264,electric,ST113,ST113,2024-06-21 17:10:00,2024-06-21 17:50:00,40.0,9.01,completed
TR10048,USR1091,member,BK265,electric,ST106,ST114,2024-11-07 19:02:00,2024-11-07 19:21:00,19.0,1.32,completed
TR10049,USR1057,member,BK285,classic,ST103,ST109,2024-03-06 04:08:00,2024-03-06 04:34:00,26.0,8.4,completed
TR10050,USR1059,casual,BK296,electric,ST104,ST111,2024-09-05 05:09:00,2024-09-05 05:56:00,47.0,2.94,completed
TR10051,USR1067,member,BK295,electric,ST113,ST114,2024-09-18 16:36:00,2024-09-18 17:19:00,43.0,7.3,completed
TR10052,USR1015,casual,BK229,classic,ST100,ST107,2024-05-21 10:47:00,2024-05-21 11:43:00,56.0,3.44,completed
TR10053,USR1089,casual,BK289,classic,ST113,ST106,2024-01-20 14:51:00,2024-01-20 15:50:00,59.0,4.85,completed
TR10054,USR1000,member,BK200,classic,ST101,ST113,2024-03-10 14:35:00,2024-03-10 15:32:00,57.0,1.84,completed
TR10055,USR1000,member,BK260,classic,ST114,ST104,2024-01-14 22:16:00,2024-01-14 23:00:00,44.0,6.51,completed
TR10056,USR1075,member,BK215,classic,ST104,ST105,2024-05-12 10:30:00,2024-05-12 10:37:00,7.0,1.13,completed
TR10057,USR1068,casual,BK293,electric,ST113,ST103,2024-11-11 16:45:00,2024-11-11 17:17:00,32.0,2.58,completed
TR10058,USR1089,member,BK284,classic,ST103,ST100,2024-07-31 13:03:00,2024-07-31 13:33:00,30.0,5.18,completed
TR10059,USR1009,member,BK268,electric,ST101,ST103,2024-12-10 10:12:00,2024-12-10 10:39:00,27.0,4.37,completed
TR10060,USR1057,member,BK200,electric,ST104,ST112,2024-01-17 04:09:00,2024-01-17 04:32:00,23.0,2.47,completed
TR10061,USR1001,casual,BK291,electric,ST110,ST103,2024-02-06 02:31:00,2024-02-06 02:51:00,20.0,6.18,completed
TR10062,USR1032,casual,BK260,classic,ST110,ST104,2024-11-19 07:45:00,2024-11-19 08:24:00,39.0,6.63,completed
TR10063,USR1039,member,BK242,electric,ST112,ST112,2024-12-07 00:32:00,2024-12-07 01:09:00,37.0,2.93,completed
TR10064,USR1034,casual,BK280,electric,ST107,ST112,2024-07-03 09:17:00,2024-07-03 09:23:00,6.0,8.6,completed
TR10065,USR1006,member,BK257,classic,ST101,ST112,2024-08-22 08:57:00,2024-08-22 09:35:00,38.0,9.43,completed
TR10066,USR1088,casual,BK235,electric,ST104,ST108,2024-01-06 05:43:00,2024-01-06 06:23:00,40.0,6.12,completed
TR10067,USR1035,member,BK295,electric,ST106,ST113,2024-03-20 09:52:00,2024-03-20 10:31:00,39.0,6.06,completed
TR10068,USR1054,casual,BK222,classic,ST102,ST108,2024-08-01 03:55:00,2024-08-01 04:48:00,53.0,4.4,completed
TR10069,USR1088,member,BK212,classic,ST102,ST100,2024-03-17 16:48:00,2024-03-17 17:12:00,24.0,1.48,completed
TR10070,USR1018,member,BK208,classic,ST111,ST113,2024-05-15 10:04:00,2024-05-15 10:49:00,45.0,7.09,completed
TR10071,USR1015,casual,BK268,classic,ST111,ST108,2024-10-22 12:03:00,2024-10-22 12:26:00,23.0,5.98,completed
TR10072,USR1052,casual,BK215,classic,ST106,ST112,2024-08-30 19:32:00,2024-08-30 20:12:00,40.0,9.38,completed
TR10073,USR1013,casual,BK204,classic,ST106,ST112,2024-01-16 01:29:00,2024-01-16 02:12:00,43.0,4.16,completed
TR10074,USR1075,casual,BK273,electric,ST111,ST100,2024-01-05 17:21:00,2024-01-05 18:12:00,51.0,1.91,completed
TR10075,USR1012,member,BK241,classic,ST101,ST110,2024-01-02 01:42:00,2024-01-02 02:32:00,50.0,7.36,completed
TR10076,USR1036,member,BK282,electric,ST112,ST100,2024-05-28 23:32:00,2024-05-29 00:05:00,33.0,8.92,completed
TR10077,USR1088,casual,BK203,electric,ST105,ST111,2024-12-02 19:28:00,2024-12-02 19:39:00,11.0,1.75,completed
TR10078,USR1053,casual,BK290,electric,ST109,ST102,2024-05-21 02:36:00,2024-05-21 03:24:00,48.0,2.0,completed
TR10079,USR1012,member,BK291,electric,ST109,ST103,2024-07-31 22:26:00,2024-07-31 23:15:00,49.0,2.07,completed
TR10080,USR1038,casual,BK202,classic,ST111,ST113,2024-10-09 04:12:00,2024-10-09 04:57:00,45.0,4.6,completed
TR10081,USR1024,member,BK232,electric,ST104,ST105,2024-06-09 08:27:00,2024-06-09 09:20:00,53.0,8.22,completed
TR10082,USR1060,casual,BK220,electric,ST105,ST104,2024-03-31 01:35:00,2024-03-31 02:24:00,49.0,9.94,completed
TR10083,USR1098,casual,BK219,classic,ST101,ST114,2024-07-16 03:16:00,2024-07-16 03:56:00,40.0,6.66,completed
TR10084,USR1030,casual,BK253,electric,ST102,ST106,2024-07-27 17:17:00,2024-07-27 17:36:00,19.0,1.41,completed
TR10085,USR1095,member,BK271,electric,ST111,ST107,2024-08-24 19:23:00,2024-08-24 19:37:00,14.0,6.58,completed
TR10086,USR1035,member,BK207,electric,ST111,ST101,2024-04-21 15:35:00,2024-04-21 16:07:00,32.0,3.39,completed
TR10087,USR1099,member,BK226,electric,ST114,ST100,2024-12-10 18:44:00,2024-12-10 19:29:00,45.0,3.52,completed
TR10088,USR1076,member,BK228,classic,ST113,ST102,2024-08-08 10:28:00,2024-08-08 10:52:00,24.0,8.4,completed
TR10089,USR1068,casual,BK224,electric,ST109,ST107,2024-10-04 00:49:00,2024-10-04 01:44:00,55.0,8.89,completed
TR10090,USR1004,casual,BK232,electric,ST100,ST101,2024-08-09 07:54:00,2024-08-09 08:43:00,49.0,9.89,completed
TR10091,USR1084,member,BK262,classic,ST105,ST110,2024-03-19 08:16:00,2024-03-19 08:31:00,15.0,8.58,completed
TR10092,USR1097,casual,BK298,classic,ST100,ST104,2024-08-02 08:44:00,2024-08-02 09:21:00,37.0,1.51,completed
TR10093,USR1080,casual,BK294,classic,ST105,ST102,2024-10-20 08:05:00,2024-10-20 08:37:00,32.0,6.0,completed
TR10094,USR1036,member,BK273,classic,ST100,ST104,2024-07-17 09:08:00,2024-07-17 10:05:00,57.0,5.05,completed
TR10095,USR1050,casual,BK276,electric,ST113,ST100,2024-01-27 22:05:00,2024-01-27 22:10:00,5.0,7.05,completed
TR10096,USR1091,casual,BK271,classic,ST109,ST109,2024-09-14 06:23:00,2024-09-14 07:01:00,38.0,5.68,completed
TR10097,USR1049,member,BK264,electric,ST111,ST104,2024-10-30 00:21:00,2024-10-30 00:28:00,7.0,1.8,completed
TR10098,USR1046,casual,BK278,classic,ST104,ST113,2024-07-27 04:10:00,2024-07-27 04:31:00,21.0,7.34,completed
TR10099,USR1037,member,BK297,electric,ST101,ST101,2024-08-07 07:46:00,2024-08-07 08:29:00,43.0,6.73,completed
TR10100,USR1050,casual,BK297,electric,ST108,ST105,2024-01-19 00:14:00,2024-01-19 00:45:00,31.0,5.06,completed
TR10101,USR1050,casual,BK204,classic,ST103,ST109,2024-07-30 10:22:00,2024-07-30 10:56:00,34.0,9.34,completed
TR10102,USR1083,member,BK268,electric,ST105,ST104,2024-05-31 16:41:00,2024-05-31 17:02:00,21.0,4.13,completed
TR10103,USR1042,member,BK274,classic,ST114,ST108,2024-03-13 14:53:00,2024-03-13 15:40:00,47.0,5.14,completed
TR10104,USR1074,member,BK215,electric,ST103,ST107,2024-05-27 01:51:00,2024-05-27 02:26:00,35.0,7.27,completed
TR10105,USR1095,casual,BK226,classic,ST101,ST112,2024-04-29 15:52:00,2024-04-29 15:59:00,7.0,2.73,completed
TR10106,USR1004,member,BK291,electric,ST112,ST105,2024-10-16 16:50:00,2024-10-16 17:15:00,25.0,1.8,completed
TR10107,USR1011,member,BK245,electric,ST100,ST113,2024-03-31 16:00:00,2024-03-31 16:09:00,9.0,3.97,completed
TR10108,USR1025,casual,BK246,classic,ST105,ST114,2024-05-27 20:10:00,2024-05-27 20:23:00,13.0,5.6,completed
TR10109,USR1060,casual,BK225,electric,ST100,ST107,2024-10-13 10:38:00,2024-10-13 11:30:00,52.0,7.73,completed
TR10110,USR1078,casual,BK255,electric,ST113,ST109,2024-08-05 01:32:00,2024-08-05 02:28:00,56.0,7.84,completed
TR10111,USR1001,casual,BK225,electric,ST110,ST107,2024-02-16 23:41:00,2024-02-17 00:09:00,28.0,2.2,completed
TR10112,USR1022,member,BK217,electric,ST105,ST102,2024-04-04 13:54:00,2024-04-04 14:45:00,51.0,4.57,completed
TR10113,USR1027,member,BK238,classic,ST100,ST106,2024-02-02 03:11:00,2024-02-02 03:40:00,29.0,1.8,completed
TR10114,USR1024,casual,BK212,electric,ST108,ST103,2024-06-19 18:05:00,2024-06-19 18:53:00,48.0,4.2,completed
TR10115,USR1017,casual,BK299,classic,ST105,ST101,2024-02-27 01:12:00,2024-02-27 02:01:00,49.0,6.02,completed
TR10116,USR1082,member,BK240,classic,ST105,ST103,2024-11-23 01:11:00,2024-11-23 02:04:00,53.0,6.81,completed
TR10117,USR1069,casual,BK232,classic,ST105,ST104,2024-10-24 01:05:00,2024-10-24 01:54:00,49.0,2.38,completed
TR10118,USR1003,member,BK274,electric,ST113,ST113,2024-11-18 11:34:00,2024-11-18 12:26:00,52.0,2.56,completed
TR10119,USR1002,casual,BK230,electric,ST104,ST103,2024-04-20 01:58:00,2024-04-20 02:11:00,13.0,9.98,completed
TR10120,USR1083,member,BK274,electric,ST114,ST105,2024-01-12 09:09:00,2024-01-12 09:15:00,6.0,9.78,completed
TR10121,USR1050,member,BK256,electric,ST114,ST110,2024-03-18 22:21:00,2024-03-18 23:03:00,42.0,6.14,completed
TR10122,USR1043,casual,BK269,electric,ST105,ST103,2024-08-02 08:18:00,2024-08-02 09:07:00,49.0,4.83,completed
TR10123,USR1011,casual,BK200,electric,ST113,ST105,2024-05-05 07:28:00,2024-05-05 07:52:00,24.0,6.23,completed
TR10124,USR1076,casual,BK202,classic,ST105,ST101,2024-07-15 08:42:00,2024-07-15 09:22:00,40.0,5.09,completed
TR10125,USR1009,member,BK201,classic,ST107,ST101,2024-02-27 01:40:00,2024-02-27 02:07:00,27.0,1.79,completed
TR10126,USR1072,casual,BK208,classic,ST114,ST107,2024-04-01 22:54:00,2024-04-01 23:35:00,41.0,6.45,completed
TR10127,USR1094,casual,BK268,electric,ST111,ST111,2024-10-25 05:54:00,2024-10-25 06:28:00,34.0,4.68,completed
TR10128,USR1008,member,BK275,classic,ST102,ST100,2024-08-16 21:08:00,2024-08-16 21:23:00,15.0,7.67,completed
TR10129,USR1071,casual,BK213,electric,ST113,ST102,2024-01-31 12:05:00,2024-01-31 12:38:00,33.0,2.48,completed
TR10130,USR1025,member,BK203,classic,ST112,ST109,2024-10-13 10:58:00,2024-10-13 11:16:00,18.0,4.53,completed
TR10131,USR1038,member,BK213,electric,ST102,ST112,2024-07-31 02:47:00,2024-07-31 02:59:00,12.0,3.71,completed
TR10132,USR1096,casual,BK216,classic,ST114,ST106,2024-05-31 11:34:00,2024-05-31 11:53:00,19.0,5.79,completed
TR10133,USR1050,casual,BK250,electric,ST105,ST102,2024-09-27 19:00:00,2024-09-27 19:44:00,44.0,6.65,completed
TR10134,USR1063,member,BK214,classic,ST112,ST100,2024-07-18 01:43:00,2024-07-18 02:29:00,46.0,5.8,completed
TR10135,USR1035,casual,BK237,classic,ST100,ST112,2024-10-06 15:02:00,2024-10-06 15:33:00,31.0,3.24,completed
TR10136,USR1067,member,BK265,electric,ST104,ST110,2024-05-28 13:42:00,2024-05-28 14:19:00,37.0,7.79,completed
TR10137,USR1012,casual,BK246,electric,ST112,ST107,2024-02-02 01:57:00,2024-02-02 02:39:00,42.0,6.44,completed
TR10138,USR1007,casual,BK228,classic,ST103,ST111,2024-09-28 15:42:00,2024-09-28 16:15:00,33.0,7.95,completed
TR10139,USR1035,member,BK225,classic,ST110,ST104,2024-04-12 11:10:00,2024-04-12 12:05:00,55.0,8.44,completed
TR10140,USR1037,member,BK271,classic,ST114,ST109,2024-09-26 16:29:00,2024-09-26 16:43:00,14.0,9.53,completed
TR10141,USR1012,member,BK261,electric,ST108,ST100,2024-04-02 17:15:00,2024-04-02 17:45:00,30.0,1.16,completed
TR10142,USR1075,member,BK299,electric,ST103,ST104,2024-06-08 20:43:00,2024-06-08 21:30:00,47.0,9.3,completed
TR10143,USR1091,casual,BK208,electric,ST102,ST112,2024-09-11 10:47:00,2024-09-11 11:33:00,46.0,1.94,completed
TR10144,USR1010,casual,BK200,electric,ST104,ST104,2024-11-16 22:00:00,2024-11-16 22:26:00,26.0,2.49,completed
TR10145,USR1086,casual,BK200,classic,ST105,ST106,2024-05-04 00:35:00,2024-05-04 01:33:00,58.0,3.05,completed
TR10146,USR1046,casual,BK252,classic,ST109,ST103,2024-11-13 01:50:00,2024-11-13 02:15:00,25.0,8.09,completed
TR10147,USR1034,casual,BK224,electric,ST110,ST105,2024-09-07 01:29:00,2024-09-07 02:14:00,45.0,4.12,completed
TR10148,USR1033,casual,BK216,electric,ST110,ST110,2024-03-28 14:41:00,2024-03-28 15:12:00,31.0,5.07,completed
TR10149,USR1023,casual,BK270,electric,ST105,ST104,2024-11-23 22:42:00,2024-11-23 23:40:00,58.0,9.23,completed
TR10150,USR1062,casual,BK221,electric,ST111,ST101,2024-09-23 01:52:00,2024-09-23 02:25:00,33.0,6.97,completed
TR10151,USR1083,casual,BK248,electric,ST105,ST105,2024-06-20 08:06:00,2024-06-20 08:27:00,21.0,1.77,completed
TR10152,USR1048,casual,BK200,electric,ST112,ST113,2024-05-23 10:04:00,2024-05-23 10:48:00,44.0,7.75,completed
TR10153,USR1061,member,BK229,classic,ST100,ST112,2024-07-18 00:26:00,2024-07-18 00:49:00,23.0,4.4,completed
TR10154,USR1018,member,BK200,electric,ST102,ST114,2024-02-20 14:07:00,2024-02-20 14:51:00,44.0,5.75,completed
TR10155,USR1093,member,BK250,classic,ST103,ST100,2024-04-05 15:17:00,2024-04-05 15:49:00,32.0,4.01,completed
TR10156,USR1002,member,BK209,electric,ST102,ST113,2024-07-09 14:46:00,2024-07-09 15:29:00,43.0,5.74,completed
TR10157,USR1054,member,BK231,electric,ST106,ST112,2024-09-27 04:48:00,2024-09-27 05:15:00,27.0,4.67,completed
TR10158,USR1066,member,BK286,classic,ST114,ST112,2024-09-16 01:28:00,2024-09-16 02:27:00,59.0,6.36,completed
TR10159,USR1066,casual,BK296,electric,ST114,ST107,2024-04-22 21:12:00,2024-04-22 22:03:00,51.0,1.89,completed
TR10160,USR1077,member,BK245,classic,ST103,ST103,2024-01-25 05:51:00,2024-01-25 06:19:00,28.0,7.01,completed
TR10161,USR1094,casual,BK247,electric,ST106,ST109,2024-03-25 05:40:00,2024-03-25 05:58:00,18.0,1.77,completed
TR10162,USR1018,member,BK218,electric,ST112,ST111,2024-01-02 12:38:00,2024-01-02 13:03:00,25.0,7.34,completed
TR10163,USR1068,member,BK210,electric,ST114,ST101,2024-10-29 20:16:00,2024-10-29 21:07:00,51.0,4.27,completed
TR10164,USR1019,casual,BK236,electric,ST113,ST108,2024-05-24 10:30:00,2024-05-24 10:46:00,16.0,4.93,completed
TR10165,USR1085,member,BK223,classic,ST109,ST113,2024-04-05 22:35:00,2024-04-05 23:14:00,39.0,5.39,completed
TR10166,USR1095,casual,BK280,electric,ST108,ST107,2024-03-03 13:33:00,2024-03-03 14:00:00,27.0,7.29,completed
TR10167,USR1072,member,BK221,classic,ST113,ST103,2024-09-08 05:12:00,2024-09-08 05:55:00,43.0,2.19,completed
TR10168,USR1097,casual,BK236,classic,ST105,ST101,2024-06-26 19:08:00,2024-06-26 19:57:00,49.0,5.77,completed
TR10169,USR1040,member,BK233,classic,ST104,ST108,2024-12-03 02:17:00,2024-12-03 02:57:00,40.0,5.48,completed
TR10170,USR1085,casual,BK226,classic,ST114,ST105,2024-11-23 12:27:00,2024-11-23 12:54:00,27.0,7.59,completed
TR10171,USR1052,casual,BK209,classic,ST100,ST109,2024-06-07 01:15:00,2024-06-07 02:04:00,49.0,4.64,completed
TR10172,USR1063,member,BK253,classic,ST100,ST102,2024-04-21 10:05:00,2024-04-21 10:55:00,50.0,1.81,completed
TR10173,USR1028,casual,BK210,electric,ST110,ST103,2024-11-29 18:26:00,2024-11-29 18:56:00,30.0,7.47,completed
TR10174,USR1098,member,BK297,classic,ST114,ST107,2024-01-08 16:06:00,2024-01-08 16:50:00,44.0,9.43,completed
TR10175,USR1035,casual,BK219,classic,ST102,ST103,2024-03-24 23:00:00,2024-03-24 23:37:00,37.0,1.46,completed
TR10176,USR1097,casual,BK225,electric,ST104,ST108,2024-03-25 13:49:00,2024-03-25 14:38:00,49.0,1.68,completed
TR10177,USR1088,casual,BK242,electric,ST109,ST108,2024-04-27 08:16:00,2024-04-27 08:21:00,5.0,3.22,completed
TR10178,USR1043,casual,BK293,electric,ST101,ST111,2024-02-01 09:06:00,2024-02-01 10:00:00,54.0,4.25,completed
TR10179,USR1060,casual,BK273,classic,ST106,ST100,2024-03-28 11:55:00,2024-03-28 12:48:00,53.0,2.67,completed
TR10180,USR1087,casual,BK207,classic,ST104,ST100,2024-04-01 22:53:00,2024-04-01 23:13:00,20.0,6.93,completed
TR10181,USR1069,member,BK224,electric,ST108,ST111,2024-02-17 04:37:00,2024-02-17 04:57:00,20.0,2.99,completed
TR10182,USR1025,casual,BK231,electric,ST106,ST100,2024-09-01 23:04:00,2024-09-01 23:53:00,49.0,2.63,completed
TR10183,USR1006,member,BK278,classic,ST106,ST108,2024-08-09 03:00:00,2024-08-09 03:26:00,26.0,2.73,completed
TR10184,USR1058,casual,BK292,electric,ST114,ST113,2024-05-22 02:15:00,2024-05-22 03:09:00,54.0,1.49,completed
TR10185,USR1058,member,BK216,electric,ST114,ST107,2024-07-14 12:50:00,2024-07-14 13:12:00,22.0,3.07,completed
TR10186,USR1097,casual,BK236,classic,ST107,ST109,2024-09-06 00:27:00,2024-09-06 01:16:00,49.0,7.52,completed
TR10187,USR1014,member,BK203,classic,ST105,ST108,2024-05-25 07:39:00,2024-05-25 08:22:00,43.0,7.64,completed
TR10188,USR1041,member,BK265,classic,ST102,ST109,2024-03-20 01:04:00,2024-03-20 01:24:00,20.0,9.91,completed
TR10189,USR1012,casual,BK217,electric,ST102,ST110,2024-12-10 08:26:00,2024-12-10 09:25:00,59.0,9.98,completed
TR10190,USR1061,casual,BK292,electric,ST104,ST111,2024-01-12 08:51:00,2024-01-12 09:24:00,33.0,6.65,completed
TR10191,USR1009,member,BK224,classic,ST106,ST103,2024-02-29 07:51:00,2024-02-29 08:39:00,48.0,7.64,completed
TR10192,USR1002,casual,BK213,electric,ST113,ST101,2024-01-23 17:33:00,2024-01-23 18:26:00,53.0,3.67,completed
TR10193,USR1024,member,BK264,classic,ST113,ST114,2024-09-17 05:17:00,2024-09-17 05:58:00,41.0,4.85,completed
TR10194,USR1067,member,BK258,electric,ST104,ST112,2024-05-27 01:20:00,2024-05-27 01:48:00,28.0,3.33,completed
TR10195,USR1038,member,BK262,electric,ST107,ST110,2024-06-07 20:11:00,2024-06-07 20:21:00,10.0,9.13,completed
TR10196,USR1070,member,BK203,classic,ST107,ST103,2024-05-26 15:29:00,2024-05-26 15:58:00,29.0,8.54,completed
TR10197,USR1073,casual,BK297,classic,ST109,ST108,2024-10-26 14:13:00,2024-10-26 15:10:00,57.0,2.68,completed
TR10198,USR1004,casual,BK253,classic,ST106,ST100,2024-05-09 14:26:00,2024-05-09 14:36:00,10.0,5.66,completed
TR10199,USR1060,casual,BK234,electric,ST101,ST113,2024-11-12 10:59:00,2024-11-12 11:52:00,53.0,9.97,completed
TR10200,USR1098,member,BK212,electric,ST112,ST114,2024-10-17 03:14:00,2024-10-17 03:50:00,36.0,1.31,completed
TR10201,USR1097,casual,BK255,classic,ST110,ST111,2024-03-12 12:19:00,2024-03-12 12:37:00,18.0,5.29,completed
TR10202,USR1097,member,BK241,classic,ST114,ST107,2024-07-13 06:26:00,2024-07-13 06:55:00,29.0,9.38,completed
TR10203,USR1087,member,BK278,electric,ST107,ST110,2024-11-09 20:58:00,2024-11-09 21:36:00,38.0,7.51,completed
TR10204,USR1069,casual,BK259,electric,ST112,ST111,2024-03-18 22:17:00,2024-03-18 22:39:00,22.0,1.69,completed
TR10205,USR1039,casual,BK295,electric,ST112,ST102,2024-02-01 16:48:00,2024-02-01 17:42:00,54.0,8.42,completed
TR10206,USR1097,member,BK290,classic,ST112,ST100,2024-04-02 03:03:00,2024-04-02 03:47:00,44.0,8.91,completed
TR10207,USR1039,member,BK296,classic,ST110,ST108,2024-07-06 02:58:00,2024-07-06 03:18:00,20.0,4.01,completed
TR10208,USR1052,member,BK299,classic,ST110,ST105,2024-05-06 23:08:00,2024-05-06 23:37:00,29.0,2.7,completed
TR10209,USR1044,member,BK230,classic,ST109,ST109,2024-05-15 04:52:00,2024-05-15 05:39:00,47.0,8.38,completed
TR10210,USR1038,casual,BK281,electric,ST101,ST113,2024-11-22 16:52:00,2024-11-22 17:26:00,34.0,7.81,completed
TR10211,USR1065,member,BK212,electric,ST110,ST100,2024-03-04 15:39:00,2024-03-04 16:22:00,43.0,6.04,completed
TR10212,USR1059,member,BK287,classic,ST102,ST105,2024-04-23 05:18:00,2024-04-23 05:56:00,38.0,3.55,completed
TR10213,USR1095,member,BK262,electric,ST111,ST114,2024-01-21 07:37:00,2024-01-21 08:22:00,45.0,9.39,completed
TR10214,USR1067,member,BK295,electric,ST101,ST103,2024-10-03 14:20:00,2024-10-03 14:46:00,26.0,3.71,completed
